case,node,status,note,timestamp
LINEAGE,PRIORART_NODE,ACTIVE,source_spam_call_patterns_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_Jaccard_similarity_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_BLEU_score_concept_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_comm_set_math_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_Si14_periodic_table_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_awk_float_math_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_SHA256_hash_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_iSH_Alpine_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_POSIX_sh_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_GitHub_Pages_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_busybox_date_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_USPTO_patent_search_recorded,2026-06-04T21:27:51Z
LINEAGE,PRIORART_NODE,ACTIVE,source_arxiv_NLP_recorded,2026-06-04T21:27:51Z
LINEAGE,CITE_NODE,ACTIVE,brick_ARCH_001_cited,2026-06-04T21:39:46Z
LINEAGE,PRIORART_NODE,ACTIVE,source_Discord_recorded,2026-06-04T21:39:54Z
LINEAGE,PRIORART_NODE,ACTIVE,source_Kubernetes_recorded,2026-06-04T21:39:54Z
LINEAGE,PRIORART_NODE,ACTIVE,source_GitLens_recorded,2026-06-04T21:39:54Z
LINEAGE,PRIORART_NODE,ACTIVE,source_OpenTelemetry_recorded,2026-06-04T21:39:54Z
LINEAGE,PRIORART_NODE,ACTIVE,source_VectorDB_pgvector_recorded,2026-06-04T21:39:54Z
LINEAGE,PRIORART_NODE,ACTIVE,source_HMAC_gateway_recorded,2026-06-04T21:39:54Z
LINEAGE,PRIORART_NODE,ACTIVE,source_Java21_virtual_threads_recorded,2026-06-04T21:39:54Z
LINEAGE,PRIORART_NODE,ACTIVE,source_RBAC_k8s_recorded,2026-06-04T21:39:54Z
C1602_CASE_001,BRIDGE_NODE,ACTIVE,bridge_sagco-arch_health,2026-06-04T21:40:37Z
C1602_CASE_001,BRIDGE_NODE,ACTIVE,arch_signal_k8s_event_2026-06-04T21:40:37Z,2026-06-04T21:40:37Z
C1602_CASE_001,BRIDGE_NODE,ACTIVE,bridge_arch-sagco_k8s_event,2026-06-04T21:40:37Z
C1602_CASE_001,EDU_ERU_NODE,ACTIVE,edu_ACM_IEEE_SE_BENCHMARK_11.71_BELOW_BENCHMARK,2026-06-04T22:09:02Z
C1602_CASE_001,EDU_ERU_NODE,ACTIVE,edu_ABET_OUTCOMES_BENCHMARK_11.29_BELOW_BENCHMARK,2026-06-04T22:09:02Z
C1602_CASE_001,EDU_ERU_NODE,ACTIVE,edu_GRAY_LITERATURE_INDUSTRY_BENCHMARK_20.43_BELOW_BENCHMARK,2026-06-04T22:09:02Z
C1602_CASE_001,EDU_ERU_NODE,ACTIVE,edu_ACM_IEEE_SE_BENCHMARK_v2_53.15_BELOW_BENCHMARK,2026-06-04T22:09:52Z
C1602_CASE_001,EDU_ERU_NODE,ACTIVE,edu_ABET_OUTCOMES_BENCHMARK_v2_58.06_BELOW_BENCHMARK,2026-06-04T22:09:52Z
C1602_CASE_001,EDU_ERU_NODE,ACTIVE,edu_GRAY_LITERATURE_INDUSTRY_BENCHMARK_v2_58.06_BELOW_BENCHMARK,2026-06-04T22:09:52Z
CLAIMS,CLAIMS_NODE,ACTIVE,claim_CLM_001_registered,2026-06-04T22:24:51Z
CLAIMS,CLAIMS_NODE,ACTIVE,claim_CLM_002_registered,2026-06-04T22:24:51Z
CLAIMS,CLAIMS_NODE,ACTIVE,claim_CLM_003_registered,2026-06-04T22:24:51Z
CLAIMS,CLAIMS_NODE,ACTIVE,claim_CLM_004_registered,2026-06-04T22:24:51Z
CLAIMS,CLAIMS_NODE,ACTIVE,claim_CLM_005_registered,2026-06-04T22:24:51Z
CLAIMS,CLAIMS_NODE,ACTIVE,claim_CLM_006_registered,2026-06-04T22:24:51Z
CLAIMS,CLAIMS_NODE,ACTIVE,claim_CLM_007_registered,2026-06-04T22:24:51Z
CLAIMS,CLAIMS_NODE,ACTIVE,claim_CLM_008_registered,2026-06-04T22:24:51Z
CLAIMS,CLAIMS_NODE,ACTIVE,claim_CLM_009_registered,2026-06-04T22:24:51Z
CLAIMS,CLAIMS_NODE,ACTIVE,claim_CLM_010_registered,2026-06-04T22:24:51Z
CLAIMS,CLAIMS_NODE,ACTIVE,claim_CLM_011_registered,2026-06-04T22:24:51Z
CLAIMS,CLAIMS_NODE,ACTIVE,claim_CLM_012_registered,2026-06-04T22:24:51Z
CLAIMS,CLAIMS_REPORT_NODE,ACTIVE,report_generated_2026-06-04T22:25:19Z,2026-06-04T22:25:19Z
C1602_CASE_001,PRO_REVIEW_NODE,ACTIVE,patent_ARTIFACT_MISSING_PACKET_STUB,2026-06-04T22:26:45Z
C1602_CASE_001,PRO_REVIEW_NODE,ACTIVE,snhu_PRO_REVIEW_PACKET_GENERATED,2026-06-04T22:26:45Z
CLAIMS,CLAIMS_REPORT_NODE,ACTIVE,report_generated_2026-06-04T22:26:49Z,2026-06-04T22:26:49Z
