# SAGCO TOKEN GRAPH EDGES
# STAMP=20260604T173449Z
# FORMAT: TOKEN_A | RELATION | TOKEN_B | STRENGTH

FLAME_DOJO | WEIGHT_PEER | FLAME_DOLLAR | 0.80
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_TOKEN | 0.90
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_WAFER | 0.90
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_FREQUENCY | 0.90
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_CIRCLE | 0.90
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_THESAURUS | 0.90
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_DICTIONARY | 0.90
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_BIBLIOGRAPHY | 0.80
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_TRANSISTOR | 0.80
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_CLOUD | 0.80
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_LINEAGE | 0.80
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_EXCAVATE | 0.80
FLAME_ANTIBODY | WEIGHT_PEER | FLAME_KNOWLEDGE | 0.80
FLAME_PIPELINE | WEIGHT_PEER | FLAME_RUST | 0.80
FLAME_PIPELINE | WEIGHT_PEER | FLAME_WING | 0.90
FLAME_PIPELINE | WEIGHT_PEER | FLAME_TOKEN | 0.90
FLAME_PIPELINE | WEIGHT_PEER | FLAME_WAFER | 0.90
FLAME_PIPELINE | WEIGHT_PEER | FLAME_THESAURUS | 0.90
FLAME_PIPELINE | WEIGHT_PEER | FLAME_TRANSISTOR | 0.80
FLAME_WAFER | WEIGHT_PEER | FLAME_WING | 0.80
FLAME_FREQUENCY | WEIGHT_PEER | FLAME_WING | 0.80
FLAME_FREQUENCY | WEIGHT_PEER | FLAME_TOKEN | 0.80
FLAME_FREQUENCY | WEIGHT_PEER | FLAME_LEXICON | 0.90
FLAME_FREQUENCY | WEIGHT_PEER | FLAME_SCAFFOLD | 0.90
FLAME_FREQUENCY | WEIGHT_PEER | FLAME_PIPELINE | 0.90
FLAME_FREQUENCY | WEIGHT_PEER | FLAME_TRANSISTOR | 0.90
FLAME_FREQUENCY | WEIGHT_PEER | FLAME_LINEAGE | 0.90
FLAME_FREQUENCY | WEIGHT_PEER | FLAME_KNOWLEDGE | 0.90
FLAME_FREQUENCY | WEIGHT_PEER | FLAME_UNITY | 0.80
FLAME_FREQUENCY | WEIGHT_PEER | FLAME_STRAND | 0.80
FLAME_CIRCLE | WEIGHT_PEER | FLAME_WING | 0.80
FLAME_CIRCLE | WEIGHT_PEER | FLAME_DEPLOY | 0.80
FLAME_CIRCLE | WEIGHT_PEER | FLAME_FLAME | 0.80
FLAME_CIRCLE | WEIGHT_PEER | FLAME_TOKEN | 0.80
FLAME_CIRCLE | WEIGHT_PEER | FLAME_LEXICON | 0.90
FLAME_CIRCLE | WEIGHT_PEER | FLAME_SCAFFOLD | 0.90
FLAME_CIRCLE | WEIGHT_PEER | FLAME_PIPELINE | 0.90
FLAME_CIRCLE | WEIGHT_PEER | FLAME_TRANSISTOR | 0.90
FLAME_CIRCLE | WEIGHT_PEER | FLAME_CLOUD | 0.90
FLAME_CIRCLE | WEIGHT_PEER | FLAME_LINEAGE | 0.90
FLAME_CIRCLE | WEIGHT_PEER | FLAME_EXCAVATE | 0.90
FLAME_CIRCLE | WEIGHT_PEER | FLAME_KNOWLEDGE | 0.90
FLAME_CIRCLE | WEIGHT_PEER | FLAME_DNA | 0.80
FLAME_CIRCLE | WEIGHT_PEER | FLAME_UNITY | 0.80
FLAME_CIRCLE | WEIGHT_PEER | FLAME_EPIC | 0.80
FLAME_CIRCLE | WEIGHT_PEER | FLAME_STRAND | 0.80
FLAME_THESAURUS | WEIGHT_PEER | FLAME_WING | 0.80
FLAME_THESAURUS | WEIGHT_PEER | FLAME_TOKEN | 0.80
FLAME_THESAURUS | WEIGHT_PEER | FLAME_TRANSISTOR | 0.90
FLAME_THESAURUS | WEIGHT_PEER | FLAME_UNITY | 0.80
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_WING | 0.80
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_FLAME | 0.80
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_TOKEN | 0.80
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_LEXICON | 0.90
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_SCAFFOLD | 0.90
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_PIPELINE | 0.90
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_TRANSISTOR | 0.90
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_LINEAGE | 0.90
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_EXCAVATE | 0.90
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_KNOWLEDGE | 0.90
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_DNA | 0.80
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_UNITY | 0.80
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_EPIC | 0.80
FLAME_DICTIONARY | WEIGHT_PEER | FLAME_STRAND | 0.80
FLAME_BIBLIOGRAPHY | WEIGHT_PEER | FLAME_LEXICON | 0.80
FLAME_BIBLIOGRAPHY | WEIGHT_PEER | FLAME_SCAFFOLD | 0.80
FLAME_BIBLIOGRAPHY | WEIGHT_PEER | FLAME_PIPELINE | 0.80
FLAME_BIBLIOGRAPHY | WEIGHT_PEER | FLAME_WAFER | 0.90
FLAME_BIBLIOGRAPHY | WEIGHT_PEER | FLAME_FREQUENCY | 0.90
FLAME_BIBLIOGRAPHY | WEIGHT_PEER | FLAME_CIRCLE | 0.90
FLAME_BIBLIOGRAPHY | WEIGHT_PEER | FLAME_THESAURUS | 0.90
FLAME_BIBLIOGRAPHY | WEIGHT_PEER | FLAME_DICTIONARY | 0.90
FLAME_BIBLIOGRAPHY | WEIGHT_PEER | FLAME_DNA | 0.90
FLAME_BIBLIOGRAPHY | WEIGHT_PEER | FLAME_UNITY | 0.90
FLAME_BIBLIOGRAPHY | WEIGHT_PEER | FLAME_EPIC | 0.90
FLAME_BIBLIOGRAPHY | WEIGHT_PEER | FLAME_BLUESCRIPT | 0.90
FLAME_BIBLIOGRAPHY | WEIGHT_PEER | FLAME_STRAND | 0.90
FLAME_TRANSISTOR | WEIGHT_PEER | FLAME_WAFER | 0.90
FLAME_TRANSISTOR | WEIGHT_PEER | FLAME_UNITY | 0.90
FLAME_CLOUD | WEIGHT_PEER | FLAME_LEXICON | 0.80
FLAME_CLOUD | WEIGHT_PEER | FLAME_SCAFFOLD | 0.80
FLAME_CLOUD | WEIGHT_PEER | FLAME_PIPELINE | 0.80
FLAME_CLOUD | WEIGHT_PEER | FLAME_WAFER | 0.90
FLAME_CLOUD | WEIGHT_PEER | FLAME_FREQUENCY | 0.90
FLAME_CLOUD | WEIGHT_PEER | FLAME_THESAURUS | 0.90
FLAME_CLOUD | WEIGHT_PEER | FLAME_DICTIONARY | 0.90
FLAME_CLOUD | WEIGHT_PEER | FLAME_DNA | 0.90
FLAME_CLOUD | WEIGHT_PEER | FLAME_UNITY | 0.90
FLAME_CLOUD | WEIGHT_PEER | FLAME_EPIC | 0.90
FLAME_CLOUD | WEIGHT_PEER | FLAME_STRAND | 0.90
FLAME_LINEAGE | WEIGHT_PEER | FLAME_SCAFFOLD | 0.80
FLAME_LINEAGE | WEIGHT_PEER | FLAME_PIPELINE | 0.80
FLAME_LINEAGE | WEIGHT_PEER | FLAME_WAFER | 0.90
FLAME_LINEAGE | WEIGHT_PEER | FLAME_THESAURUS | 0.90
FLAME_LINEAGE | WEIGHT_PEER | FLAME_UNITY | 0.90
FLAME_LINEAGE | WEIGHT_PEER | FLAME_STRAND | 0.90
FLAME_EXCAVATE | WEIGHT_PEER | FLAME_LEXICON | 0.80
FLAME_EXCAVATE | WEIGHT_PEER | FLAME_SCAFFOLD | 0.80
FLAME_EXCAVATE | WEIGHT_PEER | FLAME_PIPELINE | 0.80
FLAME_EXCAVATE | WEIGHT_PEER | FLAME_WAFER | 0.90
FLAME_EXCAVATE | WEIGHT_PEER | FLAME_FREQUENCY | 0.90
FLAME_EXCAVATE | WEIGHT_PEER | FLAME_THESAURUS | 0.90
FLAME_EXCAVATE | WEIGHT_PEER | FLAME_UNITY | 0.90
FLAME_EXCAVATE | WEIGHT_PEER | FLAME_STRAND | 0.90
FLAME_KNOWLEDGE | WEIGHT_PEER | FLAME_LEXICON | 0.80
FLAME_KNOWLEDGE | WEIGHT_PEER | FLAME_SCAFFOLD | 0.80
FLAME_KNOWLEDGE | WEIGHT_PEER | FLAME_PIPELINE | 0.80
FLAME_KNOWLEDGE | WEIGHT_PEER | FLAME_WAFER | 0.90
FLAME_KNOWLEDGE | WEIGHT_PEER | FLAME_THESAURUS | 0.90
FLAME_KNOWLEDGE | WEIGHT_PEER | FLAME_UNITY | 0.90
FLAME_KNOWLEDGE | WEIGHT_PEER | FLAME_STRAND | 0.90
FLAME_DNA | WEIGHT_PEER | FLAME_WAFER | 0.80
FLAME_DNA | WEIGHT_PEER | FLAME_FREQUENCY | 0.80
FLAME_DNA | WEIGHT_PEER | FLAME_THESAURUS | 0.80
FLAME_DNA | WEIGHT_PEER | FLAME_TRANSISTOR | 0.90
FLAME_DNA | WEIGHT_PEER | FLAME_LINEAGE | 0.90
FLAME_DNA | WEIGHT_PEER | FLAME_EXCAVATE | 0.90
FLAME_DNA | WEIGHT_PEER | FLAME_KNOWLEDGE | 0.90
FLAME_UNITY | WEIGHT_PEER | FLAME_WAFER | 0.80
FLAME_EPIC | WEIGHT_PEER | FLAME_WAFER | 0.80
FLAME_EPIC | WEIGHT_PEER | FLAME_FREQUENCY | 0.80
FLAME_EPIC | WEIGHT_PEER | FLAME_THESAURUS | 0.80
FLAME_EPIC | WEIGHT_PEER | FLAME_TRANSISTOR | 0.90
FLAME_EPIC | WEIGHT_PEER | FLAME_LINEAGE | 0.90
FLAME_EPIC | WEIGHT_PEER | FLAME_EXCAVATE | 0.90
FLAME_EPIC | WEIGHT_PEER | FLAME_KNOWLEDGE | 0.90
FLAME_BLUESCRIPT | WEIGHT_PEER | FLAME_WAFER | 0.80
FLAME_BLUESCRIPT | WEIGHT_PEER | FLAME_FREQUENCY | 0.80
FLAME_BLUESCRIPT | WEIGHT_PEER | FLAME_CIRCLE | 0.80
FLAME_BLUESCRIPT | WEIGHT_PEER | FLAME_THESAURUS | 0.80
FLAME_BLUESCRIPT | WEIGHT_PEER | FLAME_DICTIONARY | 0.80
FLAME_BLUESCRIPT | WEIGHT_PEER | FLAME_TRANSISTOR | 0.90
FLAME_BLUESCRIPT | WEIGHT_PEER | FLAME_CLOUD | 0.90
FLAME_BLUESCRIPT | WEIGHT_PEER | FLAME_LINEAGE | 0.90
FLAME_BLUESCRIPT | WEIGHT_PEER | FLAME_EXCAVATE | 0.90
FLAME_BLUESCRIPT | WEIGHT_PEER | FLAME_KNOWLEDGE | 0.90
FLAME_STRAND | WEIGHT_PEER | FLAME_WAFER | 0.80
FLAME_STRAND | WEIGHT_PEER | FLAME_THESAURUS | 0.80
FLAME_STRAND | WEIGHT_PEER | FLAME_TRANSISTOR | 0.90
FLAME_SAGCO | DOMAIN_SIBLING | FLAME_THESAURUS | 0.75
FLAME_DOJO | DOMAIN_SIBLING | FLAME_SAGCO | 0.75
FLAME_DOJO | DOMAIN_SIBLING | FLAME_FLAME | 0.75
FLAME_DOJO | DOMAIN_SIBLING | FLAME_LEXICON | 0.75
FLAME_DOJO | DOMAIN_SIBLING | FLAME_THESAURUS | 0.75
FLAME_DOJO | DOMAIN_SIBLING | FLAME_LINEAGE | 0.75
FLAME_DOJO | DOMAIN_SIBLING | FLAME_KNOWLEDGE | 0.75
FLAME_FLAME | DOMAIN_SIBLING | FLAME_SAGCO | 0.75
FLAME_FLAME | DOMAIN_SIBLING | FLAME_LEXICON | 0.75
FLAME_FLAME | DOMAIN_SIBLING | FLAME_THESAURUS | 0.75
FLAME_FLAME | DOMAIN_SIBLING | FLAME_LINEAGE | 0.75
FLAME_FLAME | DOMAIN_SIBLING | FLAME_KNOWLEDGE | 0.75
FLAME_LEXICON | DOMAIN_SIBLING | FLAME_SAGCO | 0.75
FLAME_LEXICON | DOMAIN_SIBLING | FLAME_THESAURUS | 0.75
FLAME_LEXICON | DOMAIN_SIBLING | FLAME_LINEAGE | 0.75
FLAME_BIBLIOGRAPHY | DOMAIN_SIBLING | FLAME_SAGCO | 0.75
FLAME_BIBLIOGRAPHY | DOMAIN_SIBLING | FLAME_DOJO | 0.75
FLAME_BIBLIOGRAPHY | DOMAIN_SIBLING | FLAME_FLAME | 0.75
FLAME_BIBLIOGRAPHY | DOMAIN_SIBLING | FLAME_LEXICON | 0.75
FLAME_BIBLIOGRAPHY | DOMAIN_SIBLING | FLAME_THESAURUS | 0.75
FLAME_BIBLIOGRAPHY | DOMAIN_SIBLING | FLAME_LINEAGE | 0.75
FLAME_BIBLIOGRAPHY | DOMAIN_SIBLING | FLAME_KNOWLEDGE | 0.75
FLAME_LINEAGE | DOMAIN_SIBLING | FLAME_SAGCO | 0.75
FLAME_LINEAGE | DOMAIN_SIBLING | FLAME_THESAURUS | 0.75
FLAME_KNOWLEDGE | DOMAIN_SIBLING | FLAME_SAGCO | 0.75
FLAME_KNOWLEDGE | DOMAIN_SIBLING | FLAME_LEXICON | 0.75
FLAME_KNOWLEDGE | DOMAIN_SIBLING | FLAME_THESAURUS | 0.75
FLAME_KNOWLEDGE | DOMAIN_SIBLING | FLAME_LINEAGE | 0.75
FLAME_DOLLAR | DOMAIN_SIBLING | FLAME_HASH | 0.75
FLAME_DOLLAR | DOMAIN_SIBLING | FLAME_ECHO | 0.75
FLAME_ECHO | DOMAIN_SIBLING | FLAME_HASH | 0.75
FLAME_MKDIR | DOMAIN_SIBLING | FLAME_SCAFFOLD | 0.75
FLAME_RUST | DOMAIN_SIBLING | FLAME_WING | 0.75
FLAME_EXCAVATE | DOMAIN_SIBLING | FLAME_RUST | 0.75
FLAME_EXCAVATE | DOMAIN_SIBLING | FLAME_WING | 0.75
FLAME_CLOUD | DOMAIN_SIBLING | FLAME_DEPLOY | 0.75
FLAME_CIRCLE | DOMAIN_SIBLING | FLAME_FREQUENCY | 0.75
FLAME_ANTIBODY | DOMAIN_SIBLING | FLAME_ERROR | 0.75
FLAME_DNA | DOMAIN_SIBLING | FLAME_STRAND | 0.75
FLAME_EPIC | DOMAIN_SIBLING | FLAME_UNITY | 0.75
FLAME_BRICK | PHYSICS_MAP | CONCEPT_MASS | 0.90
FLAME_PIPELINE | PHYSICS_MAP | CONCEPT_VELOCITY | 0.90
FLAME_DEPLOY | PHYSICS_MAP | CONCEPT_MOMENTUM | 0.90
FLAME_RUST | PHYSICS_MAP | CONCEPT_FORCE | 0.90
FLAME_LINEAGE | PHYSICS_MAP | CONCEPT_TIME | 0.90
FLAME_WING | PHYSICS_MAP | CONCEPT_DISTANCE | 0.90
FLAME_FLAME | PHYSICS_MAP | CONCEPT_ENERGY | 0.90
FLAME_FREQUENCY | PHYSICS_MAP | CONCEPT_FREQUENCY | 0.90
FLAME_CIRCLE | PHYSICS_MAP | CONCEPT_WAVE | 0.90
FLAME_STRAND | PHYSICS_MAP | CONCEPT_RESONANCE | 0.90
FLAME_SAGCO | ANCESTOR | FLAME_DOJO | 0.95
FLAME_SAGCO | ANCESTOR | FLAME_BRICK | 0.95
FLAME_SAGCO | ANCESTOR | FLAME_KNOWLEDGE | 0.90
FLAME_DOJO | SIBLING | FLAME_SAGCO | 0.95
FLAME_BRICK | ANCESTOR | FLAME_TOKEN | 0.88
FLAME_TOKEN | ANCESTOR | FLAME_LEXICON | 0.85
FLAME_LEXICON | SIBLING | FLAME_DICTIONARY | 0.92
FLAME_DICTIONARY | SIBLING | FLAME_THESAURUS | 0.92
FLAME_THESAURUS | SIBLING | FLAME_BIBLIOGRAPHY | 0.90
FLAME_KNOWLEDGE | ANCESTOR | FLAME_LEXICON | 0.88
FLAME_ERROR | SWARM | FLAME_ANTIBODY | 0.95
FLAME_ERROR | SIBLING | FLAME_DNA | 0.72
FLAME_PORTFOLIO | SIBLING | FLAME_BIBLIOGRAPHY | 0.85
FLAME_WING | ANCESTOR | FLAME_LEXICON | 0.88
FLAME_WING | SIBLING | FLAME_EXCAVATE | 0.90
FLAME_PIPELINE | ANCESTOR | FLAME_SCAFFOLD | 0.85
FLAME_DEPLOY | SIBLING | FLAME_CLOUD | 0.92
FLAME_RUST | SIBLING | FLAME_COMPILE | 0.88
FLAME_FREQUENCY | SIBLING | FLAME_CIRCLE | 0.90
FLAME_FREQUENCY | CODON_BRIDGE | FLAME_STRAND | 0.85
FLAME_CIRCLE | PHYSICS_BRIDGE | FLAME_FREQUENCY | 0.90
FLAME_DNA | ANCESTOR | FLAME_STRAND | 0.90
FLAME_DNA | ANCESTOR | FLAME_CODON | 0.88
FLAME_UNITY | SWARM | FLAME_EPIC | 0.85
FLAME_EPIC | SWARM | FLAME_BLUESCRIPT | 0.85
FLAME_BLUESCRIPT | SWARM | FLAME_UNITY | 0.85
FLAME_WAFER | ANCESTOR | FLAME_TOKEN | 0.88
FLAME_LINEAGE | SIBLING | FLAME_TRACE | 0.87
